#OK
#SQL= select * from MDR1..BDMW where snapnum = 85 and z between 680.000000 and 720.000000 and Mtot > 5e13
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2013-07-25 18:47:02.521 CEST
#QUERYTIME 310 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=NInCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=hostFlag JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Vrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=Vcir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=conc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=virialRatio JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=spin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Rrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=axisratio_2_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=axisratio_3_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 28 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 29 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 30 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,snapnum,NInCat,hostFlag,x,y,z,vx,vy,vz,np,Mvir,Mtot,Rvir,Vrms,Vcir,conc,Xoff,virialRatio,spin,Rrms,axisratio_2_1,axisratio_3_1,axis1_x,axis1_y,axis1_z,ix,iy,iz,phkey
8507879582,85,7879582,-1,364.4137,54.6732,694.7184,175.0,-157.6,181.42,20651,1.79100002E14,1.85700008E14,0.9246,968.2,924.7,3.145,0.0658,0.2212,0.0399,0.5482,0.4201,0.3489,-0.4649,0.0891,0.8809,373,55,711,1039753553
8507880027,85,7880027,8507877543,370.0122,32.5758,682.6378,-476.84,-524.07,597.33,7686,6.6649999E13,9.9660002E13,0.6975,762.4,694.0,5.675,0.0317,0.3673,0.0302,0.3751,0.891,0.7692,0.1331,0.6971,-0.7045,378,33,699,1038527538
8507880233,85,7880233,-1,343.2357,17.8183,689.1543,15.62,-225.29,181.68,21878,1.89699998E14,2.00099993E14,0.9507,1028.0,936.6,3.039,0.0672,0.2866,0.0451,0.5484,0.5411,0.3638,0.2087,0.1411,0.9678,351,18,705,1039794756
8507881170,85,7881170,-1,359.3021,37.6774,689.7189,134.28,-510.55,332.59,5458,4.7329999E13,5.4990001E13,0.6202,715.2,596.3,4.24,0.1476,0.5034,0.0414,0.3439,0.5997,0.4373,-0.5607,0.5393,0.6283,367,38,706,1039748923
8507881281,85,7881281,-1,342.2303,113.1406,694.8261,-69.06,46.69,446.24,5634,4.8860001E13,5.1440001E13,0.6066,679.1,667.7,7.446,0.0702,0.1821,0.0272,0.3027,0.8347,0.67,-0.8003,0.5059,0.3217,350,115,711,1039500222
8507882585,85,7882585,-1,358.1411,67.0112,697.7514,257.17,-295.61,450.11,6685,5.797E13,6.286E13,0.6485,728.5,658.9,5.005,0.0424,0.3316,0.068,0.3531,0.6072,0.5647,0.1489,0.8421,0.5183,366,68,714,1039567922
8507882778,85,7882778,-1,354.9433,37.4789,693.8911,490.59,-344.2,175.74,8646,7.4980004E13,7.9970001E13,0.7028,767.2,744.1,6.216,0.0521,0.1862,0.0405,0.3645,0.9323,0.6732,0.5005,0.7281,0.4683,363,38,710,1039748779
8507883239,85,7883239,8507877543,369.0047,32.4551,683.9315,509.8,-170.56,-570.07,6928,6.0079999E13,7.9830003E13,0.6281,735.5,723.9,7.241,0.0369,0.1784,0.0357,0.3208,0.8647,0.6812,-0.5702,0.4921,0.6579,377,33,700,1038527986
8507884209,85,7884209,-1,347.9153,108.299,695.3079,-560.71,-133.72,186.89,8150,7.0680003E13,7.7539997E13,0.6956,802.7,722.9,6.048,0.0391,0.3404,0.0408,0.3758,0.7436,0.5051,0.9518,0.3042,0.0404,356,110,711,1039485633
8507770223,85,7770223,8507779345,43.605,36.7252,680.444,899.54,927.28,1209.38,214,1.85599997E12,5.9389998E13,0.587,227.8,227.5,52.87,0.0107,0.09478,0.0016,0.1367,0.8364,0.6601,-0.4226,0.8232,0.3791,44,37,696,1055054871
8507776603,85,7776603,-1,45.2201,55.1451,684.0397,36.59,-207.43,305.16,14623,1.26800001E14,1.29600001E14,0.8198,933.6,874.3,5.318,0.0251,0.229,0.0236,0.4388,0.7605,0.5123,0.4167,0.6493,-0.6362,46,56,700,1055040446
